frame_idx,class_name,conf,x1,y1,x2,y2,cx,cy
0,fish,0.7661,488.7563,342.1687,543.4312,385.7063,516.0938,363.9375
0,fish,0.7402,229.2469,362.7563,280.3781,402.2437,254.8125,382.5000
0,fish,0.7026,681.5812,683.1562,739.2938,728.7188,710.4375,705.9375
0,fish,0.6943,233.7328,1190.2500,282.0797,1230.7500,257.9062,1210.5000
0,fish,0.6909,970.2000,407.5875,1018.8000,444.0375,994.5000,425.8125
0,fish,0.6733,691.4813,278.5781,745.1437,316.5469,718.3125,297.5625
0,fish,0.6665,485.9156,1238.1750,529.9594,1270.5750,507.9375,1254.3750
0,fish,0.6621,484.1438,994.1625,531.7313,1028.5875,507.9375,1011.3750
0,fish,0.6592,215.9016,688.6125,272.3484,731.1375,244.1250,709.8750
0,fish,0.6558,234.0281,959.4000,280.0969,995.8500,257.0625,977.6250
0,fish,0.6460,733.1625,1244.2500,787.8375,1284.7500,760.5000,1264.5000
0,fish,0.6460,909.4500,696.1500,958.0500,732.6000,933.7500,714.3750
0,fish,0.6406,909.5625,1231.9875,960.1875,1274.5125,934.8750,1253.2500
0,fish,0.6299,490.2750,567.8297,536.8500,618.2016,513.5625,593.0156
0,fish,0.5908,980.1000,985.1625,1024.6500,1019.5875,1002.3750,1002.3750
0,fish,0.5815,629.4937,996.4125,681.1313,1030.8375,655.3125,1013.6250
1,fish,0.8042,490.6406,366.3000,543.7969,408.8250,517.2188,387.5625
1,fish,0.7139,228.9656,372.2625,280.0969,410.7375,254.5312,391.5000
1,fish,0.7026,234.9000,946.0125,281.4750,984.4875,258.1875,965.2500
1,fish,0.6870,970.2000,408.4031,1018.8000,444.3469,994.5000,426.3750
1,fish,0.6733,666.9562,681.0187,724.6688,728.6063,695.8125,704.8125
1,fish,0.6621,238.0078,1194.7500,284.8359,1235.2500,261.4219,1215.0000
1,fish,0.6611,217.7438,686.4750,274.4438,731.0250,246.0938,708.7500
1,fish,0.6592,486.9000,991.4625,533.4750,1027.9125,510.1875,1009.6875
1,fish,0.6582,908.2687,696.6562,955.8563,732.0938,932.0625,714.3750
1,fish,0.6577,733.1625,1242.1125,787.8375,1284.6375,760.5000,1263.3750
1,fish,0.6548,485.6344,1237.2750,534.7406,1273.7250,510.1875,1255.5000
1,fish,0.6514,909.0000,1231.9875,959.6250,1274.5125,934.3125,1253.2500
1,fish,0.6489,693.7313,277.6289,747.3937,316.2305,720.5625,296.9297
1,fish,0.6167,487.5750,574.7062,536.1750,622.2938,511.8750,598.5000
1,fish,0.5957,980.6063,985.1625,1024.1437,1019.5875,1002.3750,1002.3750
1,fish,0.5820,628.9312,995.8500,680.5688,1030.2750,654.7500,1013.0625
2,fish,0.7744,224.5219,380.7000,276.6656,419.1750,250.5938,399.9375
2,fish,0.7607,489.4031,380.8687,540.5344,422.3813,514.9688,401.6250
2,fish,0.7075,237.7406,1201.5000,284.8219,1242.0000,261.2812,1221.7500
2,fish,0.7007,233.7188,931.5000,281.8125,972.0000,257.7656,951.7500
2,fish,0.6909,490.3313,1235.0250,537.9188,1271.4750,514.1250,1253.2500
2,fish,0.6870,481.9500,990.3375,530.5500,1026.7875,506.2500,1008.5625
2,fish,0.6836,970.7062,408.6562,1018.2938,444.0938,994.5000,426.3750
2,fish,0.6816,642.9375,680.8500,703.6875,725.4000,673.3125,703.1250
2,fish,0.6733,483.1313,585.4500,532.7437,634.0500,507.9375,609.7500
2,fish,0.6689,696.0375,278.1352,750.7125,315.7242,723.3750,296.9297
2,fish,0.6670,906.5812,696.1500,954.1688,732.6000,930.3750,714.3750
2,fish,0.6582,216.3375,687.5438,273.0375,731.0812,244.6875,709.3125
2,fish,0.6548,909.5625,1231.9875,960.1875,1274.5125,934.8750,1253.2500
2,fish,0.6538,733.1625,1242.1125,787.8375,1284.6375,760.5000,1263.3750
2,fish,0.5840,980.6063,984.0375,1024.1437,1018.4625,1002.3750,1001.2500
2,fish,0.5767,629.4375,995.8500,680.0625,1030.2750,654.7500,1013.0625
3,fish,0.7637,225.2812,388.0125,275.9062,426.4875,250.5938,407.2500
3,fish,0.7476,495.1969,1223.7750,539.2406,1260.2250,517.2188,1242.0000
3,fish,0.7104,698.2875,278.4023,752.9625,315.7383,725.6250,297.0703
3,fish,0.6885,625.5000,679.8375,686.2500,726.4125,655.8750,703.1250
3,fish,0.6885,238.3031,1208.0250,285.3844,1244.4750,261.8438,1226.2500
3,fish,0.6768,488.7563,389.1094,538.3687,427.0781,513.5625,408.0938
3,fish,0.6611,234.3938,921.8813,281.9812,961.3687,258.1875,941.6250
3,fish,0.6602,909.5625,1233.0000,960.1875,1273.5000,934.8750,1253.2500
3,fish,0.6602,906.5812,696.1500,954.1688,732.6000,930.3750,714.3750
3,fish,0.6592,220.6969,685.2375,274.8656,727.7625,247.7812,706.5000
3,fish,0.6523,971.2125,409.7531,1017.7875,444.6844,994.5000,427.2188
3,fish,0.6436,733.1625,1242.1125,787.8375,1284.6375,760.5000,1263.3750
3,fish,0.6299,480.9937,597.2062,532.6313,644.7938,506.8125,621.0000
3,fish,0.6235,484.6500,990.3937,531.2250,1027.8563,507.9375,1009.1250
3,fish,0.5957,981.1125,982.9125,1023.6375,1017.3375,1002.3750,1000.1250
3,fish,0.5547,629.4375,996.4125,680.0625,1030.8375,654.7500,1013.6250
4,fish,0.7505,494.6062,1203.5250,538.1437,1239.9750,516.3750,1221.7500
4,fish,0.7153,238.8656,1209.2625,285.9469,1247.7375,262.4062,1228.5000
4,fish,0.6958,224.1844,393.5813,275.3156,431.0437,249.7500,412.3125
4,fish,0.6909,219.4734,682.9875,274.4016,725.5125,246.9375,704.2500
4,fish,0.6792,233.5500,915.5250,281.1375,951.9750,257.3438,933.7500
4,fish,0.6782,699.4125,278.2688,754.0875,315.7312,726.7500,297.0000
4,fish,0.6738,610.7625,679.8375,669.4875,726.4125,640.1250,703.1250
4,fish,0.6621,906.0750,696.1500,954.6750,732.6000,930.3750,714.3750
4,fish,0.6577,487.1250,387.0000,537.7500,427.5000,512.4375,407.2500
4,fish,0.6548,909.5625,1233.0000,960.1875,1273.5000,934.8750,1253.2500
4,fish,0.6470,732.0938,1242.1125,787.7812,1284.6375,759.9375,1263.3750
4,fish,0.6289,483.0188,993.2625,530.6063,1031.7375,506.8125,1012.5000
4,fish,0.6279,478.8000,609.7500,531.4500,660.3750,505.1250,635.0625
4,fish,0.6152,973.4625,411.9469,1020.0375,445.8656,996.7500,428.9062
4,fish,0.5908,981.6750,983.4750,1024.2000,1017.9000,1002.9375,1000.6875
4,fish,0.5205,629.4375,996.4125,680.0625,1030.8375,654.7500,1013.6250
5,fish,0.7139,222.7781,399.1781,273.9094,436.1344,248.3438,417.6562
5,fish,0.7075,232.6500,913.2188,279.2250,948.6562,255.9375,930.9375
5,fish,0.7075,241.0594,1210.2750,287.1281,1246.7250,264.0938,1228.5000
5,fish,0.6841,221.0625,677.3625,276.7500,719.8875,248.9062,698.6250
